"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 07 23:15:12 MSK 2026","Tue Jul 07 23:15:31 MSK 2026","19016","SolidInvest Tests","Main Page Tests","com.solidinvest.tests.ContactUsTest","com.solidinvest.tests.ContactUsTest","testContactUsForm","testContactUsForm",""
"passed","Tue Jul 07 23:15:02 MSK 2026","Tue Jul 07 23:15:06 MSK 2026","3918","SolidInvest Tests","Main Page Tests","com.solidinvest.tests.MainPageTest","com.solidinvest.tests.MainPageTest","testMainPageLoads","testMainPageLoads","Проверка загрузки главной страницы"
"passed","Tue Jul 07 23:15:33 MSK 2026","Tue Jul 07 23:15:39 MSK 2026","6320","SolidInvest Tests","Main Page Tests","com.solidinvest.tests.OnbordingTest","com.solidinvest.tests.OnbordingTest","testContactsLinkNavigation","testContactsLinkNavigation","Проверка перехода по ссылке 'Открыть счет'"
"passed","Tue Jul 07 23:15:07 MSK 2026","Tue Jul 07 23:15:11 MSK 2026","3806","SolidInvest Tests","Main Page Tests","com.solidinvest.tests.ContactsTest","com.solidinvest.tests.ContactsTest","testContactsLinkNavigation","testContactsLinkNavigation","Проверка перехода по ссылке 'Контакты'"
